85.117.61.74:8080 | HTTP | GE | Transparent
163.181.207.170:9999 | HTTP | VN | Elite
184.75.221.82:3118 | HTTP | CA | Anonymous
186.125.218.150:999 | HTTP | AR | Transparent
185.200.188.234:10001 | HTTP | RU | Elite
174.138.162.34:35978 | HTTP | US | Elite
45.13.116.170:21537 | HTTP | FR | Elite
195.62.50.60:8080 | HTTP | TR | Transparent
203.96.224.198:8080 | HTTP | BD | Transparent
174.138.165.214:36164 | HTTP | US | Elite
98.154.21.253:4228 | HTTP | US | Transparent
201.7.31.163:8080 | HTTP | TR | Transparent
212.154.169.90:3128 | HTTP | KZ | Transparent
195.123.190.37:8585 | HTTP | SY | Transparent
200.59.191.27:999 | HTTP | VE | Transparent
103.88.234.239:40020 | HTTP | MX | Elite
172.104.56.95:8888 | HTTP | SG | Elite
174.138.162.37:33244 | HTTP | US | Elite
190.97.241.106:999 | HTTP | VE | Transparent
43.156.64.233:40000 | HTTP | SG | Elite
35.207.202.243:8899 | HTTP | IN | Anonymous
103.179.218.5:8080 | HTTP | ID | Transparent
51.222.30.140:3128 | HTTP | CA | Transparent
117.236.124.166:3128 | HTTP | IN | Elite
174.138.165.213:36028 | HTTP | US | Elite
185.195.71.218:18080 | HTTP | CH | Elite
37.187.109.70:10111 | HTTP | FR | Transparent
38.51.207.104:8080 | HTTP | VE | Transparent
62.113.112.246:10808 | HTTP | RU | Elite
103.191.171.18:8080 | HTTP | ID | Transparent
185.27.144.16:999 | HTTP | DO | Transparent
52.168.83.190:25252 | HTTP | US | Transparent
103.39.51.207:8080 | HTTP | ID | Transparent
103.177.92.226:1080 | HTTP | ID | Elite
79.137.78.133:8014 | HTTP | FR | Elite
138.59.11.192:999 | HTTP | VE | Transparent
213.131.85.28:1981 | HTTP | EG | Transparent
31.57.178.255:8181 | HTTP | SG | Anonymous
186.216.51.176:8080 | HTTP | BR | Transparent
5.200.72.62:3128 | HTTP | IR | Transparent
193.104.179.115:3128 | HTTP | UZ | Transparent
195.158.8.123:3128 | HTTP | UZ | Elite
103.56.205.84:8080 | HTTP | ID | Anonymous
205.164.192.115:999 | HTTP | MX | Transparent
197.164.101.13:1976 | HTTP | EG | Transparent
43.252.107.217:8080 | HTTP | ID | Elite
5.200.72.59:3128 | HTTP | IR | Transparent
190.97.236.129:999 | HTTP | VE | Transparent
174.138.165.214:38213 | HTTP | US | Elite
187.190.114.40:999 | HTTP | MX | Transparent
49.0.79.138:8080 | HTTP | TH | Transparent
187.102.219.64:999 | HTTP | AR | Transparent
197.164.101.10:1976 | HTTP | EG | Transparent
43.109.48.179:9999 | HTTP | VN | Elite
103.178.171.113:8181 | HTTP | ID | Transparent
203.76.117.226:8118 | HTTP | BD | Transparent
49.229.100.235:8080 | HTTP | TH | Transparent
103.88.234.239:40006 | HTTP | MX | Elite
165.227.220.70:40001 | HTTP | US | Elite
103.132.52.189:8080 | HTTP | ID | Transparent
177.242.132.38:999 | HTTP | MX | Transparent
146.190.60.147:8001 | HTTP | US | Elite
103.157.117.116:8080 | HTTP | ID | Anonymous
174.138.165.213:39214 | HTTP | US | Elite
45.144.53.63:5005 | HTTP | FI | Elite
169.58.34.213:3128 | HTTP | FR | Elite
153.51.201.35:999 | HTTP | VE | Transparent
95.211.174.135:3128 | HTTP | NL | Anonymous
2.27.63.250:8118 | HTTP | DE | Elite
172.236.13.116:3128 | HTTP | GB | Transparent
61.91.162.126:8080 | HTTP | TH | Transparent
192.188.80.218:8080 | HTTP | ID | Transparent
103.159.195.183:3125 | HTTP | ID | Transparent
103.208.103.35:8080 | HTTP | ID | Transparent
217.11.23.106:8080 | HTTP | IR | Transparent
91.185.20.162:8080 | HTTP | KZ | Transparent
103.18.78.135:8080 | HTTP | ID | Transparent
195.19.217.200:3128 | HTTP | RU | Transparent
203.205.49.2:10232 | HTTP | VN | Elite
144.126.137.165:1080 | HTTP | US | Elite
163.181.207.167:9999 | HTTP | VN | Elite
178.183.185.25:3001 | HTTP | PL | Transparent
46.28.74.98:3128 | HTTP | IR | Transparent
124.105.3.173:5051 | HTTP | PH | Transparent
103.153.202.0:8181 | HTTP | MM | Transparent
195.158.22.212:3128 | HTTP | UZ | Elite
174.138.162.37:36199 | HTTP | US | Elite
174.138.165.202:33143 | HTTP | US | Elite
103.39.70.5:8181 | HTTP | ID | Transparent
8.218.104.116:3128 | HTTP | HK | Transparent
77.73.68.222:65000 | HTTP | RU | Elite
38.183.184.15:999 | HTTP | VE | Transparent
190.97.236.128:999 | HTTP | VE | Transparent
45.190.87.42:999 | HTTP | EC | Transparent
174.138.162.38:38223 | HTTP | US | Elite
157.66.39.233:1111 | HTTP | ID | Transparent
45.186.6.104:3128 | HTTP | EC | Transparent
41.128.90.53:1976 | HTTP | EG | Transparent
130.110.103.245:3128 | HTTP | SA | Transparent
174.138.162.38:36012 | HTTP | US | Elite
186.33.45.220:999 | HTTP | EC | Transparent
103.137.158.112:82 | HTTP | BD | Transparent
172.232.236.77:8888 | HTTP | ID | Elite
167.86.104.220:80 | HTTP | FR | Transparent
103.31.135.214:8080 | HTTP | ID | Elite
13.221.171.114:80 | HTTP | US | Elite
103.157.117.226:81 | HTTP | ID | Anonymous
146.190.60.147:8015 | HTTP | US | Elite
159.194.228.40:8888 | HTTP | RU | Transparent
139.135.160.13:8083 | HTTP | PH | Transparent
103.156.114.46:8080 | HTTP | ID | Transparent
174.138.162.37:36129 | HTTP | US | Elite
165.101.102.25:8088 | HTTP | PH | Transparent
157.20.121.37:1080 | HTTP | ID | Elite
45.198.20.224:8080 | HTTP | ID | Transparent
186.5.94.206:999 | HTTP | EC | Transparent
59.66.23.99:29290 | HTTP | CN | Elite
1.231.81.166:3128 | HTTP | KR | Transparent
174.138.165.204:36176 | HTTP | US | Elite
2.26.118.137:3128 | HTTP | DE | Transparent
47.74.226.8:5001 | HTTP | SG | Elite
38.183.183.114:999 | HTTP | PE | Transparent
202.141.161.52:10808 | HTTP | CN | Elite
103.175.84.2:80 | HTTP | ID | Transparent
172.210.12.8:3128 | HTTP | US | Transparent
192.255.142.76:40001 | HTTP | US | Elite
45.174.168.25:999 | HTTP | MX | Transparent
213.131.85.28:1976 | HTTP | EG | Transparent
201.71.2.25:999 | HTTP | VE | Transparent
103.169.132.34:3128 | HTTP | ID | Elite
174.138.162.35:31658 | HTTP | US | Elite
111.119.162.248:10932 | HTTP | PK | Elite
103.39.49.98:8080 | HTTP | ID | Transparent
16.79.71.2:8888 | HTTP | ID | Transparent
154.59.56.73:999 | HTTP | VE | Transparent
200.10.31.45:8081 | HTTP | CO | Transparent
174.138.162.37:55156 | HTTP | US | Elite
14.139.235.82:3128 | HTTP | IN | Anonymous
62.193.104.26:1981 | HTTP | EG | Transparent
65.109.87.121:18080 | HTTP | FI | Elite
45.132.252.25:49156 | HTTP | RU | Elite
187.102.219.34:999 | HTTP | AR | Transparent
201.71.2.24:999 | HTTP | VE | Transparent
38.252.213.248:999 | HTTP | PE | Transparent
103.154.152.62:8085 | HTTP | ID | Transparent
154.59.56.76:999 | HTTP | VE | Transparent
37.59.125.131:8888 | HTTP | FR | Transparent
213.136.72.147:3128 | HTTP | FR | Transparent
103.172.42.43:1111 | HTTP | ID | Transparent
27.147.153.179:8158 | HTTP | BD | Transparent
135.181.79.187:40001 | HTTP | FI | Elite
103.237.102.191:11111 | HTTP | DE | Elite
95.3.69.222:8080 | HTTP | TR | Transparent
43.252.107.106:9020 | HTTP | ID | Transparent
49.147.125.164:5050 | HTTP | PH | Transparent
186.148.160.8:999 | HTTP | CO | Transparent
187.102.219.42:999 | HTTP | AR | Transparent
121.174.186.199:8080 | HTTP | KR | Elite
49.151.78.142:8080 | HTTP | PH | Transparent
108.61.213.218:80 | HTTP | AU | Anonymous
176.111.37.216:39811 | HTTP | HK | Transparent
111.119.162.248:10957 | HTTP | PK | Elite
2.26.89.85:3128 | HTTP | RU | Elite
41.33.60.42:8081 | HTTP | EG | Transparent
