102.221.238.238:8080 | HTTP | NG | Transparent | Ciudad Infrastructure Lim..
103.76.109.203:80 | HTTP | ID | Transparent | PT Mahawira Nusantara Gru..
154.19.39.133:8080 | HTTP | ID | Transparent | PT Lintas Network Solusi
47.82.180.117:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
174.138.165.170:8080 | HTTP | US | Elite | Secured Servers LLC
103.190.108.97:3128 | HTTP | ID | Anonymous | PT Pandawa Lintas Media
190.97.254.154:8080 | HTTP | VE | Transparent | Viginet C.A
103.133.223.251:8080 | HTTP | ID | Anonymous | PT Cloud Teknologi Nusant..
47.82.144.99:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
103.159.96.195:8080 | HTTP | ID | Transparent | PT Jinde Grup Indonesia
47.79.249.75:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
168.138.147.179:3128 | HTTP | BR | Transparent | Oracle Corporation
47.82.0.12:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
41.216.186.138:8080 | HTTP | UN | Anonymous | Lookup Error
47.82.146.17:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
113.192.31.225:8080 | HTTP | ID | Transparent | PT Indo Telemedia Solusi
89.189.64.20:8080 | HTTP | YE | Transparent | AS30873 YemenNet
47.82.165.230:3128 | HTTP | UN | Elite | Lookup Error
131.222.210.40:8080 | HTTP | TR | Transparent | Superonline Iletisim Hizm..
81.169.170.253:3128 | HTTP | DE | Transparent | Strato AG
144.31.73.173:3128 | HTTP | DE | Transparent | U1 DIGITAL SERVICES LTD
47.82.180.13:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
209.126.84.189:3128 | HTTP | US | Elite | Contabo Inc.
85.29.58.229:8080 | HTTP | TR | Transparent | Superonline Iletisim Hizm..
181.48.234.214:8080 | HTTP | CO | Transparent | Telmex Colombia S.A.
147.161.246.37:80 | HTTP | UN | Transparent | Lookup Error
145.241.249.192:80 | HTTP | GB | Elite | Oracle Corporation
18.212.119.185:1080 | HTTP | US | Elite | Amazon.com, Inc.
103.39.51.130:1080 | HTTP | ID | Elite | PT. Mega Mentari Mandiri
51.79.71.106:8080 | HTTP | CA | Transparent | OVH SAS
131.222.210.172:8080 | HTTP | TR | Transparent | Superonline Iletisim Hizm..
45.143.108.118:8080 | HTTP | GE | Transparent | Airmax LLC
47.82.145.30:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
103.190.108.204:3128 | HTTP | ID | Anonymous | PT Pandawa Lintas Media
47.82.176.132:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
178.252.165.122:8080 | HTTP | IR | Transparent | GOSTARESH-E-ERTEBATAT-E M..
173.212.245.136:8888 | HTTP | FR | Elite | Contabo GmbH
47.82.144.164:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
146.120.199.193:8080 | HTTP | UA | Transparent | FiberLink Ltd.
103.124.137.31:3128 | HTTP | ID | Transparent | Global Media Data Prima
89.43.134.44:8080 | HTTP | SY | Transparent | High Speed For Internet S..
84.252.70.94:8080 | HTTP | RU | Transparent | Voronezh Telecom LLC
45.95.232.35:3128 | HTTP | CH | Elite | Global Connectivity Solut..
163.223.78.171:8080 | HTTP | ID | Elite | PT Big Network Indonesia
103.147.152.12:1080 | HTTP | DE | Elite | RedSwitches Pty LTD.
47.82.154.221:3128 | HTTP | SG | Elite | Alibaba (US) Technology C..
101.255.107.130:8080 | HTTP | ID | Transparent | PT Remala Abadi
170.81.242.93:3128 | HTTP | UN | Transparent | Lookup Error
40.90.200.185:3128 | HTTP | US | Transparent | Microsoft Corporation
